Region,1961,1962,1963
China,58340740,60690860,63942700
United States of America,89816580,90275010,93700380
India,50142680,50015760,51367730
USSR,72768810,73961920,70531000
Brazil,16564600,17344940,17443010
France,23408500,26654000,25202710
Germany,22077690,24241470,25340780
Italy,18638310,19289340,18918070
Argentina,11950390,12519320,13694660
Indonesia,7383684,8054871,7650931
Turkey,9801625,10152630,10635830
Poland,15955180,14575640,15858570
Spain,9798405,9825465,11420400
Pakistan,6247493,6589936,6897616
Mexico,6632554,7098856,7394225
Japan,11464360,12075860,12370320
Canada,8246525,9913775,10751080
United Kingdom,10620960,11154420,11093710
Russian Federation,0,0,0
Australia,8033542,9014986,9354546
Nigeria,6075942,6347033,6669741
Thailand,4480766,4802374,5134577
"Iran, Islamic Republic of",2997640,3098577,3067630
Netherlands,4700973,4877780,4875756
Bangladesh,5295969,5038676,5590852
Egypt,3361283,4024906,4121380
Viet Nam,3471556,3677532,3677420
Romania,5358930,5022678,5096700
Philippines,3351690,3604865,3745430
South Africa,3986965,4022348,4247542
Colombia,3135949,3391935,3364217
Ukraine,0,0,0
Hungary,3887535,3993613,4320800
"Korea, Republic of",2168330,2062573,2259366
New Zealand,3518831,3680832,3735158
Greece,3427934,3084512,3401255
Myanmar,2412070,2728966,2863719
Yugoslav SFR,5008954,5175146,5524450
Denmark,3800428,3833062,3823419
Malaysia,1182611,1204312,1265997
Czechoslovakia,4601178,4374112,4793068
Bulgaria,2842766,3141124,3216790
Sudan,1778896,1909400,1946882
Austria,2837223,2808626,2996174
Belgium-Luxembourg,3100848,3183065,3156997
Uganda,1792407,1791975,1992587
Chile,1740947,1811248,1835588
Morocco,1345720,1584064,1703285
Ireland,2012922,1972534,1966425
